Target Distance (in),Hood Angle (deg),Shot Exit Velocity (ips),Flywheel Command Speed (ips)
8,76.9,143.72,200.00
8,71.9,NaN,NaN
8,66.9,NaN,NaN
8,61.9,NaN,NaN
8,56.9,NaN,NaN
8,51.9,NaN,NaN
8,46.9,NaN,NaN
8,41.9,NaN,NaN
8,36.9,NaN,NaN
8,31.9,NaN,NaN
9,76.9,146.25,203.08
9,71.9,NaN,NaN
9,66.9,NaN,NaN
9,61.9,NaN,NaN
9,56.9,NaN,NaN
9,51.9,NaN,NaN
9,46.9,NaN,NaN
9,41.9,NaN,NaN
9,36.9,NaN,NaN
9,31.9,NaN,NaN
10,76.9,148.78,206.15
10,71.9,NaN,NaN
10,66.9,NaN,NaN
10,61.9,NaN,NaN
10,56.9,NaN,NaN
10,51.9,NaN,NaN
10,46.9,NaN,NaN
10,41.9,NaN,NaN
10,36.9,NaN,NaN
10,31.9,NaN,NaN
11,76.9,151.32,209.23
11,71.9,NaN,NaN
11,66.9,NaN,NaN
11,61.9,NaN,NaN
11,56.9,NaN,NaN
11,51.9,NaN,NaN
11,46.9,NaN,NaN
11,41.9,NaN,NaN
11,36.9,NaN,NaN
11,31.9,NaN,NaN
12,76.9,153.85,212.31
12,71.9,NaN,NaN
12,66.9,NaN,NaN
12,61.9,NaN,NaN
12,56.9,NaN,NaN
12,51.9,NaN,NaN
12,46.9,NaN,NaN
12,41.9,NaN,NaN
12,36.9,NaN,NaN
12,31.9,NaN,NaN
13,76.9,156.38,215.38
13,71.9,NaN,NaN
13,66.9,NaN,NaN
13,61.9,NaN,NaN
13,56.9,NaN,NaN
13,51.9,NaN,NaN
13,46.9,NaN,NaN
13,41.9,NaN,NaN
13,36.9,NaN,NaN
13,31.9,NaN,NaN
14,76.9,158.91,218.46
14,71.9,NaN,NaN
14,66.9,NaN,NaN
14,61.9,NaN,NaN
14,56.9,NaN,NaN
14,51.9,NaN,NaN
14,46.9,NaN,NaN
14,41.9,NaN,NaN
14,36.9,NaN,NaN
14,31.9,NaN,NaN
15,76.9,161.44,221.54
15,71.9,NaN,NaN
15,66.9,NaN,NaN
15,61.9,NaN,NaN
15,56.9,NaN,NaN
15,51.9,NaN,NaN
15,46.9,NaN,NaN
15,41.9,NaN,NaN
15,36.9,NaN,NaN
15,31.9,NaN,NaN
16,76.9,163.97,224.62
16,71.9,NaN,NaN
16,66.9,NaN,NaN
16,61.9,NaN,NaN
16,56.9,NaN,NaN
16,51.9,NaN,NaN
16,46.9,NaN,NaN
16,41.9,NaN,NaN
16,36.9,NaN,NaN
16,31.9,NaN,NaN
17,76.9,166.50,227.69
17,71.9,NaN,NaN
17,66.9,NaN,NaN
17,61.9,NaN,NaN
17,56.9,NaN,NaN
17,51.9,NaN,NaN
17,46.9,NaN,NaN
17,41.9,NaN,NaN
17,36.9,NaN,NaN
17,31.9,NaN,NaN
18,76.9,169.03,230.77
18,71.9,143.72,200.00
18,66.9,NaN,NaN
18,61.9,NaN,NaN
18,56.9,NaN,NaN
18,51.9,NaN,NaN
18,46.9,NaN,NaN
18,41.9,NaN,NaN
18,36.9,NaN,NaN
18,31.9,NaN,NaN
19,76.9,171.56,233.85
19,71.9,145.66,202.35
19,66.9,NaN,NaN
19,61.9,NaN,NaN
19,56.9,NaN,NaN
19,51.9,NaN,NaN
19,46.9,NaN,NaN
19,41.9,NaN,NaN
19,36.9,NaN,NaN
19,31.9,NaN,NaN
20,76.9,174.09,236.92
20,71.9,147.59,204.71
20,66.9,NaN,NaN
20,61.9,NaN,NaN
20,56.9,NaN,NaN
20,51.9,NaN,NaN
20,46.9,NaN,NaN
20,41.9,NaN,NaN
20,36.9,NaN,NaN
20,31.9,NaN,NaN
21,76.9,176.63,240.00
21,71.9,149.53,207.06
21,66.9,NaN,NaN
21,61.9,NaN,NaN
21,56.9,NaN,NaN
21,51.9,NaN,NaN
21,46.9,NaN,NaN
21,41.9,NaN,NaN
21,36.9,NaN,NaN
21,31.9,NaN,NaN
22,76.9,178.15,241.54
22,71.9,151.46,209.41
22,66.9,NaN,NaN
22,61.9,NaN,NaN
22,56.9,NaN,NaN
22,51.9,NaN,NaN
22,46.9,NaN,NaN
22,41.9,NaN,NaN
22,36.9,NaN,NaN
22,31.9,NaN,NaN
23,76.9,179.67,243.08
23,71.9,153.40,211.76
23,66.9,NaN,NaN
23,61.9,NaN,NaN
23,56.9,NaN,NaN
23,51.9,NaN,NaN
23,46.9,NaN,NaN
23,41.9,NaN,NaN
23,36.9,NaN,NaN
23,31.9,NaN,NaN
24,76.9,181.19,244.62
24,71.9,155.34,214.12
24,66.9,NaN,NaN
24,61.9,NaN,NaN
24,56.9,NaN,NaN
24,51.9,NaN,NaN
24,46.9,NaN,NaN
24,41.9,NaN,NaN
24,36.9,NaN,NaN
24,31.9,NaN,NaN
25,76.9,182.71,246.15
25,71.9,157.27,216.47
25,66.9,NaN,NaN
25,61.9,NaN,NaN
25,56.9,NaN,NaN
25,51.9,NaN,NaN
25,46.9,NaN,NaN
25,41.9,NaN,NaN
25,36.9,NaN,NaN
25,31.9,NaN,NaN
26,76.9,184.22,247.69
26,71.9,159.21,218.82
26,66.9,NaN,NaN
26,61.9,NaN,NaN
26,56.9,NaN,NaN
26,51.9,NaN,NaN
26,46.9,NaN,NaN
26,41.9,NaN,NaN
26,36.9,NaN,NaN
26,31.9,NaN,NaN
27,76.9,185.74,249.23
27,71.9,161.14,221.18
27,66.9,NaN,NaN
27,61.9,NaN,NaN
27,56.9,NaN,NaN
27,51.9,NaN,NaN
27,46.9,NaN,NaN
27,41.9,NaN,NaN
27,36.9,NaN,NaN
27,31.9,NaN,NaN
28,76.9,187.26,250.77
28,71.9,163.08,223.53
28,66.9,NaN,NaN
28,61.9,NaN,NaN
28,56.9,NaN,NaN
28,51.9,NaN,NaN
28,46.9,NaN,NaN
28,41.9,NaN,NaN
28,36.9,NaN,NaN
28,31.9,NaN,NaN
29,76.9,188.78,252.31
29,71.9,165.01,225.88
29,66.9,143.72,200.00
29,61.9,NaN,NaN
29,56.9,NaN,NaN
29,51.9,NaN,NaN
29,46.9,NaN,NaN
29,41.9,NaN,NaN
29,36.9,NaN,NaN
29,31.9,NaN,NaN
30,76.9,190.30,253.85
30,71.9,166.95,228.24
30,66.9,145.22,201.82
30,61.9,NaN,NaN
30,56.9,NaN,NaN
30,51.9,NaN,NaN
30,46.9,NaN,NaN
30,41.9,NaN,NaN
30,36.9,NaN,NaN
30,31.9,NaN,NaN
31,76.9,191.82,255.38
31,71.9,168.88,230.59
31,66.9,146.71,203.64
31,61.9,NaN,NaN
31,56.9,NaN,NaN
31,51.9,NaN,NaN
31,46.9,NaN,NaN
31,41.9,NaN,NaN
31,36.9,NaN,NaN
31,31.9,NaN,NaN
32,76.9,193.34,256.92
32,71.9,170.82,232.94
32,66.9,148.21,205.45
32,61.9,NaN,NaN
32,56.9,NaN,NaN
32,51.9,NaN,NaN
32,46.9,NaN,NaN
32,41.9,NaN,NaN
32,36.9,NaN,NaN
32,31.9,NaN,NaN
33,76.9,194.86,258.46
33,71.9,172.75,235.29
33,66.9,149.70,207.27
33,61.9,NaN,NaN
33,56.9,NaN,NaN
33,51.9,NaN,NaN
33,46.9,NaN,NaN
33,41.9,NaN,NaN
33,36.9,NaN,NaN
33,31.9,NaN,NaN
34,76.9,196.38,260.00
34,71.9,174.69,237.65
34,66.9,151.20,209.09
34,61.9,NaN,NaN
34,56.9,NaN,NaN
34,51.9,NaN,NaN
34,46.9,NaN,NaN
34,41.9,NaN,NaN
34,36.9,NaN,NaN
34,31.9,NaN,NaN
35,76.9,197.90,261.54
35,71.9,176.63,240.00
35,66.9,152.70,210.91
35,61.9,NaN,NaN
35,56.9,NaN,NaN
35,51.9,NaN,NaN
35,46.9,NaN,NaN
35,41.9,NaN,NaN
35,36.9,NaN,NaN
35,31.9,NaN,NaN
36,76.9,199.42,263.08
36,71.9,177.99,241.38
36,66.9,154.19,212.73
36,61.9,NaN,NaN
36,56.9,NaN,NaN
36,51.9,NaN,NaN
36,46.9,NaN,NaN
36,41.9,NaN,NaN
36,36.9,NaN,NaN
36,31.9,NaN,NaN
37,76.9,200.94,264.62
37,71.9,179.35,242.76
37,66.9,155.69,214.55
37,61.9,NaN,NaN
37,56.9,NaN,NaN
37,51.9,NaN,NaN
37,46.9,NaN,NaN
37,41.9,NaN,NaN
37,36.9,NaN,NaN
37,31.9,NaN,NaN
38,76.9,202.46,266.15
38,71.9,180.71,244.14
38,66.9,157.18,216.36
38,61.9,NaN,NaN
38,56.9,NaN,NaN
38,51.9,NaN,NaN
38,46.9,NaN,NaN
38,41.9,NaN,NaN
38,36.9,NaN,NaN
38,31.9,NaN,NaN
39,76.9,203.98,267.69
39,71.9,182.08,245.52
39,66.9,158.68,218.18
39,61.9,NaN,NaN
39,56.9,NaN,NaN
39,51.9,NaN,NaN
39,46.9,NaN,NaN
39,41.9,NaN,NaN
39,36.9,NaN,NaN
39,31.9,NaN,NaN
40,76.9,205.50,269.23
40,71.9,183.44,246.90
40,66.9,160.17,220.00
40,61.9,143.72,200.00
40,56.9,NaN,NaN
40,51.9,NaN,NaN
40,46.9,NaN,NaN
40,41.9,NaN,NaN
40,36.9,NaN,NaN
40,31.9,NaN,NaN
41,76.9,207.02,270.77
41,71.9,184.80,248.28
41,66.9,161.67,221.82
41,61.9,144.99,201.54
41,56.9,NaN,NaN
41,51.9,NaN,NaN
41,46.9,NaN,NaN
41,41.9,NaN,NaN
41,36.9,NaN,NaN
41,31.9,NaN,NaN
42,76.9,208.54,272.31
42,71.9,186.16,249.66
42,66.9,163.17,223.64
42,61.9,146.25,203.08
42,56.9,NaN,NaN
42,51.9,NaN,NaN
42,46.9,NaN,NaN
42,41.9,NaN,NaN
42,36.9,NaN,NaN
42,31.9,NaN,NaN
43,76.9,210.06,273.85
43,71.9,187.53,251.03
43,66.9,164.66,225.45
43,61.9,147.52,204.62
43,56.9,NaN,NaN
43,51.9,NaN,NaN
43,46.9,NaN,NaN
43,41.9,NaN,NaN
43,36.9,NaN,NaN
43,31.9,NaN,NaN
44,76.9,211.58,275.38
44,71.9,188.89,252.41
44,66.9,166.16,227.27
44,61.9,148.78,206.15
44,56.9,NaN,NaN
44,51.9,NaN,NaN
44,46.9,NaN,NaN
44,41.9,NaN,NaN
44,36.9,NaN,NaN
44,31.9,NaN,NaN
45,76.9,213.10,276.92
45,71.9,190.25,253.79
45,66.9,167.65,229.09
45,61.9,150.05,207.69
45,56.9,NaN,NaN
45,51.9,NaN,NaN
45,46.9,NaN,NaN
45,41.9,NaN,NaN
45,36.9,NaN,NaN
45,31.9,NaN,NaN
46,76.9,214.62,278.46
46,71.9,191.61,255.17
46,66.9,169.15,230.91
46,61.9,151.32,209.23
46,56.9,143.72,200.00
46,51.9,NaN,NaN
46,46.9,NaN,NaN
46,41.9,NaN,NaN
46,36.9,NaN,NaN
46,31.9,NaN,NaN
47,76.9,216.14,280.00
47,71.9,192.98,256.55
47,66.9,170.64,232.73
47,61.9,152.58,210.77
47,56.9,144.86,201.38
47,51.9,NaN,NaN
47,46.9,NaN,NaN
47,41.9,NaN,NaN
47,36.9,NaN,NaN
47,31.9,NaN,NaN
48,76.9,219.27,282.22
48,71.9,194.34,257.93
48,66.9,172.14,234.55
48,61.9,153.85,212.31
48,56.9,145.99,202.76
48,51.9,NaN,NaN
48,46.9,NaN,NaN
48,41.9,NaN,NaN
48,36.9,NaN,NaN
48,31.9,NaN,NaN
49,76.9,222.40,284.44
49,71.9,195.70,259.31
49,66.9,173.63,236.36
49,61.9,155.11,213.85
49,56.9,147.13,204.14
49,51.9,NaN,NaN
49,46.9,NaN,NaN
49,41.9,NaN,NaN
49,36.9,NaN,NaN
49,31.9,NaN,NaN
50,76.9,225.52,286.67
50,71.9,197.06,260.69
50,66.9,175.13,238.18
50,61.9,156.38,215.38
50,56.9,148.26,205.52
50,51.9,NaN,NaN
50,46.9,NaN,NaN
50,41.9,NaN,NaN
50,36.9,NaN,NaN
50,31.9,NaN,NaN
51,76.9,228.65,288.89
51,71.9,198.43,262.07
51,66.9,176.63,240.00
51,61.9,157.64,216.92
51,56.9,149.40,206.90
51,51.9,NaN,NaN
51,46.9,NaN,NaN
51,41.9,NaN,NaN
51,36.9,NaN,NaN
51,31.9,NaN,NaN
52,76.9,231.78,291.11
52,71.9,199.79,263.45
52,66.9,177.64,241.03
52,61.9,158.91,218.46
52,56.9,150.53,208.28
52,51.9,NaN,NaN
52,46.9,NaN,NaN
52,41.9,NaN,NaN
52,36.9,NaN,NaN
52,31.9,NaN,NaN
53,76.9,234.90,293.33
53,71.9,201.15,264.83
53,66.9,178.65,242.05
53,61.9,160.17,220.00
53,56.9,151.66,209.66
53,51.9,NaN,NaN
53,46.9,NaN,NaN
53,41.9,NaN,NaN
53,36.9,NaN,NaN
53,31.9,NaN,NaN
54,76.9,238.03,295.56
54,71.9,202.51,266.21
54,66.9,179.67,243.08
54,61.9,161.44,221.54
54,56.9,152.80,211.03
54,51.9,NaN,NaN
54,46.9,NaN,NaN
54,41.9,NaN,NaN
54,36.9,NaN,NaN
54,31.9,NaN,NaN
55,76.9,241.16,297.78
55,71.9,203.88,267.59
55,66.9,180.68,244.10
55,61.9,162.71,223.08
55,56.9,153.93,212.41
55,51.9,143.72,200.00
55,46.9,NaN,NaN
55,41.9,NaN,NaN
55,36.9,NaN,NaN
55,31.9,NaN,NaN
56,76.9,244.29,300.00
56,71.9,205.24,268.97
56,66.9,181.69,245.13
56,61.9,163.97,224.62
56,56.9,155.07,213.79
56,51.9,144.82,201.33
56,46.9,NaN,NaN
56,41.9,NaN,NaN
56,36.9,NaN,NaN
56,31.9,NaN,NaN
57,76.9,247.41,302.22
57,71.9,206.60,270.34
57,66.9,182.71,246.15
57,61.9,165.24,226.15
57,56.9,156.20,215.17
57,51.9,145.92,202.67
57,46.9,NaN,NaN
57,41.9,NaN,NaN
57,36.9,NaN,NaN
57,31.9,NaN,NaN
58,76.9,250.54,304.44
58,71.9,207.97,271.72
58,66.9,183.72,247.18
58,61.9,166.50,227.69
58,56.9,157.34,216.55
58,51.9,147.01,204.00
58,46.9,NaN,NaN
58,41.9,NaN,NaN
58,36.9,NaN,NaN
58,31.9,NaN,NaN
59,76.9,253.67,306.67
59,71.9,209.33,273.10
59,66.9,184.73,248.21
59,61.9,167.77,229.23
59,56.9,158.47,217.93
59,51.9,148.11,205.33
59,46.9,NaN,NaN
59,41.9,NaN,NaN
59,36.9,NaN,NaN
59,31.9,NaN,NaN
60,76.9,256.80,308.89
60,71.9,210.69,274.48
60,66.9,185.74,249.23
60,61.9,169.03,230.77
60,56.9,159.61,219.31
60,51.9,149.21,206.67
60,46.9,NaN,NaN
60,41.9,NaN,NaN
60,36.9,NaN,NaN
60,31.9,NaN,NaN
61,76.9,259.92,311.11
61,71.9,212.05,275.86
61,66.9,186.76,250.26
61,61.9,170.30,232.31
61,56.9,160.74,220.69
61,51.9,150.30,208.00
61,46.9,143.72,200.00
61,41.9,NaN,NaN
61,36.9,NaN,NaN
61,31.9,NaN,NaN
62,76.9,263.05,313.33
62,71.9,213.42,277.24
62,66.9,187.77,251.28
62,61.9,171.56,233.85
62,56.9,161.88,222.07
62,51.9,151.40,209.33
62,46.9,144.64,201.11
62,41.9,NaN,NaN
62,36.9,NaN,NaN
62,31.9,NaN,NaN
63,76.9,266.18,315.56
63,71.9,214.78,278.62
63,66.9,188.78,252.31
63,61.9,172.83,235.38
63,56.9,163.01,223.45
63,51.9,152.50,210.67
63,46.9,145.55,202.22
63,41.9,143.72,200.00
63,36.9,NaN,NaN
63,31.9,NaN,NaN
64,76.9,269.31,317.78
64,71.9,216.14,280.00
64,66.9,189.80,253.33
64,61.9,174.09,236.92
64,56.9,164.15,224.83
64,51.9,153.59,212.00
64,46.9,146.46,203.33
64,41.9,144.61,201.08
64,36.9,NaN,NaN
64,31.9,NaN,NaN
65,76.9,272.43,320.00
65,71.9,218.39,281.60
65,66.9,190.81,254.36
65,61.9,175.36,238.46
65,56.9,165.28,226.21
65,51.9,154.69,213.33
65,46.9,147.38,204.44
65,41.9,145.50,202.16
65,36.9,NaN,NaN
65,31.9,NaN,NaN
66,76.9,277.49,324.44
66,71.9,220.64,283.20
66,66.9,191.82,255.38
